path,scope,category,size_bytes,pages_extracted,extraction_status,hits,error,text_preview
AIOS/KnowledgeBase/raw_data/pdf/b2180d90f819__a8be8b84-9583-40b2-8e74-702001fc5548.pdf,property_intelligence,general_aios,9686232,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/0ef7202c4367__Nakheel Online Service _2_.pdf,property_intelligence,nakheel_design_approval,65878,1,OK,Nakheel; Return; Swimming pool; nakheel; undertaking,,"--- page 1 --- Download Status Returned Comments Returned application due to following comments: - Full compliance with applicable architectural guideline is required. (Such as design style – contemporary / modern only, please refer to sample villa images for reference. Boundary wall height, materials and design to comply with applicable architectural guidelines. All heights to be measured from +0.00m gate level. Windows, balconies, terraces, openings etc. facing to neighbour side to be designed as per guidelines for privacy. ) - Accurately filled evaluation sheet to be provided. - Swimming pool undertaking letter to be provided. A full fresh application shall be submitted. For further queries, kindly contact email: landservices@nakheel.com. 5/22/26, 4:49 PM Nakheel Online Service https://onlineservices.nakheel.com/Modules/Services/RequestsHistory.aspx?e5XyvDiBsw%2fAntcBfxfACOKP5utdA2Yz"
AIOS/KnowledgeBase/raw_data/pdf/d621c5675bae__180d89c4-5dbc-40d7-a7c6-13d65fe19366.pdf,property_intelligence,general_aios,2029753,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/ae70bb5d9949__c1e9de78-b808-4f15-95d3-ce6c6702c476.pdf,property_intelligence,general_aios,16736523,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/9b28bc7a8738__0a8cbf32-337e-4a9b-9efd-70f682215f03.pdf,property_intelligence,general_aios,1271606,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/53f432d4488d__f7bc2690-f0c3-495e-808e-957a214a66ff.pdf,property_intelligence,general_aios,256824,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/78633ac6888f__a8cd406a-dda9-4221-afab-19e7cfeed3f3.pdf,property_intelligence,general_aios,102468,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/789afc914c0d__576334c9-7a54-44bd-85ab-c3f09e635942.pdf,property_intelligence,general_aios,23025680,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/24b87421eb1b__ec277986-5e33-492e-ac88-96d900b34471.pdf,property_intelligence,general_aios,225602,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/19cb11a4e535__54719ba3-93fc-4fb4-a352-8b01679cbdf3.pdf,property_intelligence,general_aios,50217377,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/1bb74808bf71__CB202606199355_V1_0620T203801_340963cc-ad43-4f4f-b828-a21d1b014efa.pdf,property_intelligence,general_aios,234734,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/9a611a3bf0c6__c1386152-b8eb-40fc-901f-b407e9c23240.pdf,property_intelligence,general_aios,1336133,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/152f489829ab__9fae622e-8d82-463b-a15d-3c1c4bf606af.pdf,property_intelligence,general_aios,6406646,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/4e17cd110971__46c816d5-24c6-4b92-bcf5-c516b3524d87.pdf,property_intelligence,general_aios,5204175,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/9241c28393ad__03_Drawings_Elevations_Sections_Walls.pdf,property_intelligence,general_aios,2453449,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/772eddf84c0d__61ae1406-e69b-430e-a92f-86437b5b54bb.pdf,property_intelligence,general_aios,321619,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/9a812fbc9448__4dcbd776-c7ef-46a2-9be8-48542b88b647.pdf,property_intelligence,general_aios,1487786,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/58ac682e8a22__24e77f02-4471-4260-872a-2cb70ffbdf33.pdf,property_intelligence,general_aios,190188,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/f32c19320c2f__15784c6f-8133-4642-8f12-416df60bccb8.pdf,property_intelligence,general_aios,255664,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/7bc389bcc153__HSH-STANDARD-BRANDED-PROPERTY-PRESENTATION-TEMPLATE.pdf,property_intelligence,property_intelligence,53345,0,SKIPPED_LOW_PRIORITY,,,
AIOS/KnowledgeBase/raw_data/pdf/6958419a5554__dc590e44-cce0-4d91-a9ec-cd2fc6a7e2db.pdf,property_intelligence,general_aios,296097,0,SKIPPED_LOW_PRIORITY,,,
